DNI,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom complet,Nascut Espanya,Data naixement,Edat,Increment,Salari nuevo
21762997G,Pau,Sánchez,Espanya,Barcelona,13,3,1962,Home,1473,No,Grup B,Pau Sánchez,True,1962-03-13,63,0.035,1524.5549999999998
53012171X,Laia,Sánchez Castells,Espanya,Barcelona,21,11,1970,Dona,2057,Si,Grup B,Laia Sánchez Castells,True,1970-11-21,55,0.035,2128.995
41156735G,Toni,Castells,Espanya,Bilbao,7,6,1990,Home,1674,No,Grup B,Toni Castells,True,1990-06-07,35,0.035,1732.59
12234836K,Chloé,Girard,França,Marsella,17,4,1977,Dona,1985,Si,Grup B,Chloé Girard,False,1977-04-17,48,0.035,2054.475
99521295N,Anna,Castells Martínez,Espanya,València,3,4,1991,Dona,1414,No,Grup B,Anna Castells Martínez,True,1991-04-03,34,0.035,1463.4899999999998
37399141L,Laura,Schneider Fischer,Alemanya,Berlín,2,2,1958,Dona,1769,Si,Grup B,Laura Schneider Fischer,False,1958-02-02,68,0.035,1830.915
15110846Z,Oriol,López,Espanya,València,27,6,2002,Home,1308,No,Grup B,Oriol López,True,2002-06-27,23,0.035,1353.78
83165476Y,Núria,García Ferrer,Espanya,Sevilla,17,6,1957,Altres,1240,No,Grup B,Núria García Ferrer,True,1957-06-17,68,0.035,1283.3999999999999
28967396E,Daniel,Gutiérrez Castro,Colòmbia,Medellín,4,5,1976,Home,1456,No,Grup B,Daniel Gutiérrez Castro,False,1976-05-04,49,0.035,1506.9599999999998
47304350Y,Jordi,Ferrer,Espanya,València,21,6,1967,Home,1330,Si,Grup B,Jordi Ferrer,True,1967-06-21,58,0.035,1376.55
54585678Q,Pau,López Martínez,Espanya,Bilbao,22,5,1967,Home,2125,Si,Grup B,Pau López Martínez,True,1967-05-22,58,0.035,2199.375
42625930X,Joan,Romero,Espanya,Bilbao,15,11,1987,Home,1528,No,Grup B,Joan Romero,True,1987-11-15,38,0.035,1581.4799999999998
44075059L,Oriol,Sánchez Sánchez,Espanya,Bilbao,17,3,2002,Home,1815,Si,Grup B,Oriol Sánchez Sánchez,True,2002-03-17,23,0.035,1878.5249999999999
24435321M,Marta,Castells Ferrer,Espanya,Sevilla,15,3,1981,Dona,1872,Si,Grup B,Marta Castells Ferrer,True,1981-03-15,44,0.035,1937.5199999999998
68455541R,Sofia,Oliveira,Portugal,Porto,5,7,1952,Dona,1413,No,Grup B,Sofia Oliveira,False,1952-07-05,73,0.035,1462.455
12763903J,Eva,Martínez,Espanya,Madrid,19,10,1974,null,2015,No,Grup B,Eva Martínez,True,1974-10-19,51,0.035,2085.5249999999996
87744901Q,Toni,García,Espanya,Bilbao,20,9,1990,Home,1698,No,Grup B,Toni García,True,1990-09-20,35,0.035,1757.4299999999998
28996393T,Oriol,Sánchez Martínez,Espanya,Sevilla,5,1,1981,Home,1941,No,Grup B,Oriol Sánchez Martínez,True,1981-01-05,45,0.035,2008.935
55395479J,Anna,Ferrer,Espanya,València,6,10,1984,Dona,1531,Si,Grup B,Anna Ferrer,True,1984-10-06,41,0.035,1584.5849999999998
33939128K,Matías,Gómez Gómez,Argentina,Còrdova,18,8,2002,Home,2080,Si,Grup B,Matías Gómez Gómez,False,2002-08-18,23,0.035,2152.7999999999997
28394981G,Jean,Girard Moreau,França,París,26,9,1991,null,1573,Si,Grup B,Jean Girard Moreau,False,1991-09-26,34,0.035,1628.0549999999998
83703395A,Pau,Martínez,Espanya,Madrid,14,2,1959,Home,2100,No,Grup B,Pau Martínez,True,1959-02-14,66,0.035,2173.5
73749390X,Eva,Romero Ferrer,Espanya,València,7,12,1965,Dona,1861,No,Grup B,Eva Romero Ferrer,True,1965-12-07,60,0.035,1926.1349999999998
42823610D,Eva,Castells,Espanya,Madrid,9,7,1956,Dona,1669,Si,Grup B,Eva Castells,True,1956-07-09,69,0.035,1727.415
75141877A,Fatima,Fassi,Marroc,Casablanca,18,3,1958,Dona,1154,No,Grup B,Fatima Fassi,False,1958-03-18,67,0.035,1194.3899999999999
43586389Z,Jordi,Ferrer,Espanya,Sevilla,15,2,1958,Home,1797,No,Grup B,Jordi Ferrer,True,1958-02-15,67,0.035,1859.8949999999998
98144857C,Arnau,Sánchez,Espanya,Sevilla,21,10,1990,Home,2149,No,Grup B,Arnau Sánchez,True,1990-10-21,35,0.035,2224.2149999999997
33058070M,Marta,Romero García,Espanya,Madrid,11,5,1973,Dona,1929,No,Grup B,Marta Romero García,True,1973-05-11,52,0.035,1996.5149999999999
41916963A,Marta,Romero,Espanya,Sevilla,27,4,1976,Dona,1759,No,Grup B,Marta Romero,True,1976-04-27,49,0.035,1820.5649999999998
33287222R,Toni,Romero,Espanya,València,19,1,1974,Home,1451,No,Grup B,Toni Romero,True,1974-01-19,52,0.035,1501.7849999999999
29151933K,Arnau,Romero Romero,Espanya,València,8,10,1968,Home,1811,No,Grup B,Arnau Romero Romero,True,1968-10-08,57,0.035,1874.3849999999998
21050694P,Toni,Sánchez,Espanya,Barcelona,1,1,1987,Home,1493,No,Grup B,Toni Sánchez,True,1987-01-01,39,0.035,1545.2549999999999
90216874S,Jordi,Ferrer,Espanya,Sevilla,12,7,2003,Home,1413,No,Grup B,Jordi Ferrer,True,2003-07-12,22,0.035,1462.455
74017954Q,Anna,Sánchez,Espanya,València,25,2,1981,Dona,1200,No,Grup B,Anna Sánchez,True,1981-02-25,44,0.035,1242.0
73563832M,Oriol,Ferrer Romero,Espanya,Madrid,9,2,1985,Home,1970,No,Grup B,Oriol Ferrer Romero,True,1985-02-09,40,0.035,2038.9499999999998
86350703G,Sophie,Smith,Regne Unit,Manchester,8,1,1957,Dona,1254,Si,Grup B,Sophie Smith,False,1957-01-08,69,0.035,1297.8899999999999
37368317L,Lea,Schneider Schneider,Alemanya,Berlín,23,10,2005,Dona,2013,No,Grup B,Lea Schneider Schneider,False,2005-10-23,20,0.035,2083.455
83710837G,José,González Ramírez,Mèxic,Ciutat de Mèxic,2,3,1955,Home,1677,No,Grup B,José González Ramírez,False,1955-03-02,70,0.035,1735.695
69273831N,Sara,Gutiérrez,Colòmbia,Bogotà,26,2,1970,Dona,1893,No,Grup B,Sara Gutiérrez,False,1970-02-26,55,0.035,1959.2549999999999
27292471C,Eva,García,Espanya,Bilbao,18,10,1962,null,2135,No,Grup B,Eva García,True,1962-10-18,63,0.035,2209.725
41171214L,Jordi,Romero García,Espanya,Sevilla,6,8,2000,Home,1972,Si,Grup B,Jordi Romero García,True,2000-08-06,25,0.035,2041.0199999999998
15594293F,Emily,Jones,Regne Unit,Londres,15,11,1969,Dona,1274,No,Grup B,Emily Jones,False,1969-11-15,56,0.035,1318.59
51884150Q,Joan,Romero Sánchez,Espanya,Bilbao,24,7,1951,Home,1493,Si,Grup B,Joan Romero Sánchez,True,1951-07-24,74,0.035,1545.2549999999999
65118360Z,Joan,Romero Martínez,Espanya,Bilbao,19,11,1954,Home,2091,No,Grup B,Joan Romero Martínez,True,1954-11-19,71,0.035,2164.185
21526488C,Joan,Sánchez,Espanya,València,9,8,1997,Home,2303,Si,Grup B,Joan Sánchez,True,1997-08-09,28,0.035,2383.605
49061102W,Mohamed,El Amrani Zahraoui,Marroc,Casablanca,12,8,1984,Altres,1545,Si,Grup B,Mohamed El Amrani Zahraoui,False,1984-08-12,41,0.035,1599.0749999999998
60287803J,Pau,Ferrer,Espanya,Barcelona,15,3,1991,Home,1503,Si,Grup B,Pau Ferrer,True,1991-03-15,34,0.035,1555.6049999999998
24315095T,Toni,Ferrer,Espanya,Bilbao,24,2,1964,Altres,2140,No,Grup B,Toni Ferrer,True,1964-02-24,61,0.035,2214.8999999999996
14473175F,Oriol,Castells,Espanya,Bilbao,17,3,1965,Home,2222,No,Grup B,Oriol Castells,True,1965-03-17,60,0.035,2299.77
56555741Z,Marco,Conti Rossi,Itàlia,Roma,4,1,1986,Home,1450,No,Grup B,Marco Conti Rossi,False,1986-01-04,40,0.035,1500.7499999999998
21390098Z,Mia,Fischer,Alemanya,Berlín,11,8,1950,Dona,1557,Si,Grup B,Mia Fischer,False,1950-08-11,75,0.035,1611.495
14688639J,Toni,Castells Ferrer,Espanya,Barcelona,15,11,1974,null,1840,No,Grup B,Toni Castells Ferrer,True,1974-11-15,51,0.035,1904.3999999999999
56867791S,Marc,Castells Sánchez,Espanya,Barcelona,24,6,2000,Home,1398,No,Grup B,Marc Castells Sánchez,True,2000-06-24,25,0.035,1446.9299999999998
80471691R,Laia,Sánchez,Espanya,Sevilla,3,3,1982,Dona,1850,Si,Grup B,Laia Sánchez,True,1982-03-03,43,0.035,1914.7499999999998
66854670R,George,Jones Taylor,Regne Unit,Londres,27,5,2000,null,2100,No,Grup B,George Jones Taylor,False,2000-05-27,25,0.035,2173.5
61862070S,Núria,Castells,Espanya,València,25,12,1992,Dona,2023,Si,Grup B,Núria Castells,True,1992-12-25,33,0.035,2093.805
91287275Z,Luisa,González Cruz,Mèxic,Ciutat de Mèxic,20,11,1990,Dona,1201,Si,Grup B,Luisa González Cruz,False,1990-11-20,35,0.035,1243.0349999999999
92774049Y,Oriol,Romero García,Espanya,Barcelona,5,9,1972,Home,1461,No,Grup B,Oriol Romero García,True,1972-09-05,53,0.035,1512.135
93432185G,Oriol,Martínez,Espanya,Sevilla,26,7,1957,Home,2282,No,Grup B,Oriol Martínez,True,1957-07-26,68,0.035,2361.87
20520614Y,Núria,Ferrer,Espanya,Barcelona,9,6,1959,null,1961,No,Grup B,Núria Ferrer,True,1959-06-09,66,0.035,2029.6349999999998
42280605C,Clara,García,Espanya,Sevilla,16,10,1951,Dona,1429,Si,Grup B,Clara García,True,1951-10-16,74,0.035,1479.0149999999999
66171387W,Valentina,Rojas,Colòmbia,Bogotà,6,9,1959,Dona,1185,No,Grup B,Valentina Rojas,False,1959-09-06,66,0.035,1226.475
59071537P,Carla,Sánchez,Espanya,Madrid,2,7,1990,Dona,1522,Si,Grup B,Carla Sánchez,True,1990-07-02,35,0.035,1575.27
17102266H,Marta,Romero García,Espanya,València,3,4,1972,Altres,1350,Si,Grup B,Marta Romero García,True,1972-04-03,53,0.035,1397.25
21135917V,Valentina,Torres,Colòmbia,Bogotà,14,1,1968,Dona,2040,No,Grup B,Valentina Torres,False,1968-01-14,58,0.035,2111.3999999999996
47660164G,Jordi,Romero Martínez,Espanya,Barcelona,11,6,1983,Home,2303,No,Grup B,Jordi Romero Martínez,True,1983-06-11,42,0.035,2383.605
62152209S,Laia,García,Espanya,Madrid,9,8,1991,Dona,1495,No,Grup B,Laia García,True,1991-08-09,34,0.035,1547.3249999999998
29753711H,Anna,Ferrer Castells,Espanya,Bilbao,18,8,1992,Dona,1317,Si,Grup B,Anna Ferrer Castells,True,1992-08-18,33,0.035,1363.0949999999998
57378189F,Toni,López,Espanya,Madrid,12,10,1964,Home,1367,Si,Grup B,Toni López,True,1964-10-12,61,0.035,1414.8449999999998
79676573H,Marta,Ferrer Sánchez,Espanya,València,18,3,1952,Dona,1299,Si,Grup B,Marta Ferrer Sánchez,True,1952-03-18,73,0.035,1344.465
96964440V,Marco,Russo,Itàlia,Torí,13,7,1982,Home,2194,No,Grup B,Marco Russo,False,1982-07-13,43,0.035,2270.79
14889781M,Lucas,Álvarez Álvarez,Argentina,Còrdova,17,5,1981,Home,1912,Si,Grup B,Lucas Álvarez Álvarez,False,1981-05-17,44,0.035,1978.9199999999998
16129804M,Arnau,García,Espanya,València,11,2,1953,Home,1886,No,Grup B,Arnau García,True,1953-02-11,72,0.035,1952.0099999999998
92922593Z,Arnau,López,Espanya,Madrid,4,4,1994,Altres,1803,No,Grup B,Arnau López,True,1994-04-04,31,0.035,1866.1049999999998
89271483K,Camila,Ramírez González,Mèxic,Guadalajara,10,4,1965,Dona,1853,No,Grup B,Camila Ramírez González,False,1965-04-10,60,0.035,1917.8549999999998
59372221S,Laia,Ferrer,Espanya,Bilbao,22,5,1978,Dona,1218,No,Grup B,Laia Ferrer,True,1978-05-22,47,0.035,1260.6299999999999
61477292C,Marta,Romero,Espanya,Bilbao,8,7,1978,Dona,1846,No,Grup B,Marta Romero,True,1978-07-08,47,0.035,1910.61
13998302S,Clara,Ferrer Martínez,Espanya,Sevilla,24,5,1951,Dona,1767,No,Grup B,Clara Ferrer Martínez,True,1951-05-24,74,0.035,1828.8449999999998
72888019J,María,González Hernández,Mèxic,Ciutat de Mèxic,14,7,1965,Dona,1615,No,Grup B,María González Hernández,False,1965-07-14,60,0.035,1671.5249999999999
99123197C,Marc,Sánchez Castells,Espanya,Sevilla,21,3,1980,Home,1279,No,Grup B,Marc Sánchez Castells,True,1980-03-21,45,0.035,1323.7649999999999
37655961A,Núria,García,Espanya,Barcelona,2,5,1989,Dona,1627,Si,Grup B,Núria García,True,1989-05-02,36,0.035,1683.945
50292113M,Laia,López,Espanya,Madrid,21,4,1984,Dona,1179,Si,Grup B,Laia López,True,1984-04-21,41,0.035,1220.2649999999999
68186758D,Carla,García,Espanya,Barcelona,6,10,2001,Dona,1962,Si,Grup B,Carla García,True,2001-10-06,24,0.035,2030.6699999999998
10882370B,Núria,Romero Martínez,Espanya,València,16,3,2004,Dona,1378,Si,Grup B,Núria Romero Martínez,True,2004-03-16,21,0.035,1426.2299999999998
89173930Q,Sophie,Moreau Lefevre,França,Marsella,11,1,1995,Dona,1742,Si,Grup B,Sophie Moreau Lefevre,False,1995-01-11,31,0.035,1802.9699999999998
50829502T,Núria,Ferrer Romero,Espanya,Sevilla,16,3,1989,Dona,1257,No,Grup B,Núria Ferrer Romero,True,1989-03-16,36,0.035,1300.995
53457611N,Arnau,López López,Espanya,Bilbao,6,6,1991,Home,1382,No,Grup B,Arnau López López,True,1991-06-06,34,0.035,1430.37
59779704A,Clara,Romero López,Espanya,Barcelona,8,12,1985,Dona,1385,Si,Grup B,Clara Romero López,True,1985-12-08,40,0.035,1433.475
35566470L,Carla,López Sánchez,Espanya,Bilbao,11,10,1961,Dona,1626,Si,Grup B,Carla López Sánchez,True,1961-10-11,64,0.035,1682.9099999999999
93122931K,Toni,Ferrer,Espanya,Bilbao,5,9,1957,Home,1415,No,Grup B,Toni Ferrer,True,1957-09-05,68,0.035,1464.5249999999999
63960462M,Anna,Castells Martínez,Espanya,Bilbao,6,3,1959,Dona,1561,Si,Grup B,Anna Castells Martínez,True,1959-03-06,66,0.035,1615.6349999999998
43756083N,Mia,Fischer,Alemanya,Munic,8,9,1953,Dona,1666,No,Grup B,Mia Fischer,False,1953-09-08,72,0.035,1724.31
28171073A,Núria,Martínez Romero,Espanya,Bilbao,9,7,1965,Dona,1619,Si,Grup B,Núria Martínez Romero,True,1965-07-09,60,0.035,1675.665
17164182B,Sara,Torres Castro,Colòmbia,Medellín,25,2,1992,Dona,1334,Si,Grup B,Sara Torres Castro,False,1992-02-25,33,0.035,1380.6899999999998
10352133N,Marco,Conti Russo,Itàlia,Torí,28,1,2005,Home,2002,No,Grup B,Marco Conti Russo,False,2005-01-28,20,0.035,2072.0699999999997
94310395L,Ali,Bennani,Marroc,Casablanca,22,3,1980,Home,2160,Si,Grup B,Ali Bennani,False,1980-03-22,45,0.035,2235.6
13299063V,Marc,Ferrer García,Espanya,València,21,4,1996,Home,1618,No,Grup B,Marc Ferrer García,True,1996-04-21,29,0.035,1674.6299999999999
67537453P,Joan,Romero Martínez,Espanya,Bilbao,24,12,1985,Home,1764,No,Grup B,Joan Romero Martínez,True,1985-12-24,40,0.035,1825.7399999999998
97299170Q,Marta,Romero Ferrer,Espanya,Barcelona,7,2,1962,Dona,1336,Si,Grup B,Marta Romero Ferrer,True,1962-02-07,63,0.035,1382.76
98511923W,Carla,Castells Castells,Espanya,Sevilla,22,6,1979,Dona,1845,No,Grup B,Carla Castells Castells,True,1979-06-22,46,0.035,1909.5749999999998
50115394L,Arnau,Martínez,Espanya,Bilbao,25,4,1959,Home,1372,Si,Grup B,Arnau Martínez,True,1959-04-25,66,0.035,1420.02
15838881W,Marta,Romero,Espanya,Sevilla,26,10,2002,Dona,1291,Si,Grup B,Marta Romero,True,2002-10-26,23,0.035,1336.185
88164399Q,Camille,Girard Lefevre,França,París,26,1,2001,Dona,1521,Si,Grup B,Camille Girard Lefevre,False,2001-01-26,24,0.035,1574.235
83561180C,Carla,López,Espanya,Bilbao,7,7,2003,Dona,1760,Si,Grup B,Carla López,True,2003-07-07,22,0.035,1821.6
80116589E,Toni,Castells Romero,Espanya,València,26,8,1988,Home,1292,Si,Grup B,Toni Castells Romero,True,1988-08-26,37,0.035,1337.2199999999998
70945038M,Leon,Schneider,Alemanya,Munic,5,5,1981,Home,1672,No,Grup B,Leon Schneider,False,1981-05-05,44,0.035,1730.5199999999998
66590677S,Marta,García,Espanya,Bilbao,19,8,1950,Dona,1431,No,Grup B,Marta García,True,1950-08-19,75,0.035,1481.0849999999998
67472696R,Francesca,Ferrari Ferrari,Itàlia,Torí,21,4,1990,null,1316,No,Grup B,Francesca Ferrari Ferrari,False,1990-04-21,35,0.035,1362.06
79349076S,Núria,Martínez Ferrer,Espanya,Barcelona,7,11,1991,Dona,1506,No,Grup B,Núria Martínez Ferrer,True,1991-11-07,34,0.035,1558.7099999999998
50085415G,Joan,García,Espanya,Madrid,22,10,2000,Home,2067,No,Grup B,Joan García,True,2000-10-22,25,0.035,2139.345
88571285P,Oriol,Castells,Espanya,Bilbao,13,4,1972,Home,1592,Si,Grup B,Oriol Castells,True,1972-04-13,53,0.035,1647.7199999999998
53588164S,Jordi,Ferrer López,Espanya,Madrid,13,9,1955,Home,1691,Si,Grup B,Jordi Ferrer López,True,1955-09-13,70,0.035,1750.185
29092175V,Marc,López Sánchez,Espanya,Sevilla,11,4,1968,Home,1315,No,Grup B,Marc López Sánchez,True,1968-04-11,57,0.035,1361.0249999999999
97241617V,Marta,López Sánchez,Espanya,Madrid,17,5,1992,Dona,1871,Si,Grup B,Marta López Sánchez,True,1992-05-17,33,0.035,1936.485
44603694F,Toni,Castells,Espanya,València,4,9,1964,Home,1297,No,Grup B,Toni Castells,True,1964-09-04,61,0.035,1342.395
50351415W,Núria,Ferrer,Espanya,Barcelona,19,9,2001,Dona,1147,Si,Grup B,Núria Ferrer,True,2001-09-19,24,0.035,1187.145
83461359C,Marc,Romero,Espanya,Madrid,2,8,1984,Home,1635,No,Grup B,Marc Romero,True,1984-08-02,41,0.035,1692.225
63487190Q,Laia,Castells López,Espanya,Barcelona,15,11,1969,Dona,1482,No,Grup B,Laia Castells López,True,1969-11-15,56,0.035,1533.87
89757860E,Eva,Castells Martínez,Espanya,Barcelona,15,7,1996,Dona,1370,Si,Grup B,Eva Castells Martínez,True,1996-07-15,29,0.035,1417.9499999999998
60982309S,Lukas,Müller Fischer,Alemanya,Hamburg,28,3,1971,Home,2042,No,Grup B,Lukas Müller Fischer,False,1971-03-28,54,0.035,2113.47
49562152B,Marta,Ferrer,Espanya,Madrid,25,5,1976,Dona,1922,No,Grup B,Marta Ferrer,True,1976-05-25,49,0.035,1989.2699999999998
32909990R,Laia,Romero,Espanya,Sevilla,18,5,1960,Dona,1354,No,Grup B,Laia Romero,True,1960-05-18,65,0.035,1401.3899999999999
44724403H,Toni,Ferrer,Espanya,Bilbao,20,2,1980,Home,1454,No,Grup B,Toni Ferrer,True,1980-02-20,45,0.035,1504.8899999999999
54525691Y,Laia,García Ferrer,Espanya,Bilbao,19,1,1970,Dona,1765,No,Grup B,Laia García Ferrer,True,1970-01-19,56,0.035,1826.7749999999999
74821823F,Beatriz,Oliveira Ferreira,Portugal,Lisboa,5,9,1985,Dona,1548,Si,Grup B,Beatriz Oliveira Ferreira,False,1985-09-05,40,0.035,1602.1799999999998
41974885N,Arnau,Ferrer Romero,Espanya,València,13,7,1958,Home,1786,Si,Grup B,Arnau Ferrer Romero,True,1958-07-13,67,0.035,1848.5099999999998
78223675H,Santiago,Gutiérrez Torres,Colòmbia,Medellín,4,12,1959,Home,2238,Si,Grup B,Santiago Gutiérrez Torres,False,1959-12-04,66,0.035,2316.33
64394445D,Gabriela,Ramírez,Mèxic,Ciutat de Mèxic,19,2,1990,Dona,1569,Si,Grup B,Gabriela Ramírez,False,1990-02-19,35,0.035,1623.915
18457673C,Carla,Martínez,Espanya,València,17,4,1999,Dona,1281,No,Grup B,Carla Martínez,True,1999-04-17,26,0.035,1325.8349999999998
33585026G,Youssef,El Amrani Fassi,Marroc,Rabat,13,10,1981,Home,1785,No,Grup B,Youssef El Amrani Fassi,False,1981-10-13,44,0.035,1847.475
90216535S,Martina,Rodríguez Gómez,Argentina,Buenos Aires,10,3,1978,Dona,1292,Si,Grup B,Martina Rodríguez Gómez,False,1978-03-10,47,0.035,1337.2199999999998
74822167B,Antoine,Lefevre,França,Marsella,1,10,1953,Home,1745,No,Grup B,Antoine Lefevre,False,1953-10-01,72,0.035,1806.0749999999998
23955973V,Eva,Ferrer Romero,Espanya,Bilbao,19,5,1976,Dona,1412,No,Grup B,Eva Ferrer Romero,True,1976-05-19,49,0.035,1461.4199999999998
72168409M,Lucas,Fernández Álvarez,Argentina,Còrdova,27,4,1993,Home,1992,Si,Grup B,Lucas Fernández Álvarez,False,1993-04-27,32,0.035,2061.72
44215821L,Julieta,Rodríguez,Argentina,Buenos Aires,24,7,1979,Dona,1181,No,Grup B,Julieta Rodríguez,False,1979-07-24,46,0.035,1222.3349999999998
23058334Y,Jordi,Ferrer,Espanya,Sevilla,5,3,1993,Home,1653,Si,Grup B,Jordi Ferrer,True,1993-03-05,32,0.035,1710.8549999999998
25439397A,Pau,Ferrer García,Espanya,Barcelona,21,3,1982,Home,1270,No,Grup B,Pau Ferrer García,True,1982-03-21,43,0.035,1314.4499999999998
89577876S,Emily,Taylor Jones,Regne Unit,Manchester,28,3,1958,Dona,2033,No,Grup B,Emily Taylor Jones,False,1958-03-28,67,0.035,2104.1549999999997
76782023V,Anna,Castells García,Espanya,Bilbao,26,3,1950,Dona,1465,Si,Grup B,Anna Castells García,True,1950-03-26,75,0.035,1516.2749999999999
87154578D,Toni,Martínez,Espanya,Bilbao,5,7,1973,Home,1643,Si,Grup B,Toni Martínez,True,1973-07-05,52,0.035,1700.5049999999999
19721783S,Núria,Ferrer,Espanya,Barcelona,7,12,1983,Dona,1964,No,Grup B,Núria Ferrer,True,1983-12-07,42,0.035,2032.7399999999998
87257820C,Marta,García,Espanya,València,14,5,1976,Dona,1582,No,Grup B,Marta García,True,1976-05-14,49,0.035,1637.37
62035858J,Sara,Castro,Colòmbia,Bogotà,4,12,1974,Dona,1524,Si,Grup B,Sara Castro,False,1974-12-04,51,0.035,1577.34
97143963K,Chiara,Russo Conti,Itàlia,Roma,6,11,1985,Altres,1441,Si,Grup B,Chiara Russo Conti,False,1985-11-06,40,0.035,1491.435
39929911E,Eva,Castells Romero,Espanya,Madrid,24,1,1958,Altres,1908,No,Grup B,Eva Castells Romero,True,1958-01-24,68,0.035,1974.7799999999997
