DNI,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom complet,Nascut Espanya,Data naixement,Edat,Increment,Salari nuevo
65535145H,Pau,Castells,Espanya,Bilbao,20,7,1953,Home,2952,No,Grup D,Pau Castells,True,1953-07-20,72,0.08,3188.1600000000003
33366982Q,Pau,García,Espanya,Madrid,11,3,1976,null,2910,No,Grup D,Pau García,True,1976-03-11,49,0.08,3142.8
13080692S,Eva,Ferrer Romero,Espanya,Barcelona,1,11,2005,Dona,2899,No,Grup D,Eva Ferrer Romero,True,2005-11-01,20,0.08,3130.92
14345055N,Michel,Girard Dubois,França,París,9,8,1970,Home,2973,No,Grup D,Michel Girard Dubois,False,1970-08-09,55,0.08,3210.84
96810023K,Jordi,López,Espanya,Madrid,25,6,1995,Home,3258,No,Grup D,Jordi López,True,1995-06-25,30,0.08,3518.6400000000003
87285985P,Clara,Sánchez,Espanya,Madrid,1,10,2002,Altres,3142,Si,Grup D,Clara Sánchez,True,2002-10-01,23,0.08,3393.36
23290905N,Laia,López Castells,Espanya,Madrid,13,8,1971,null,2615,Si,Grup D,Laia López Castells,True,1971-08-13,54,0.08,2824.2000000000003
30561064P,Oriol,López Castells,Espanya,Madrid,14,4,1987,Home,3356,No,Grup D,Oriol López Castells,True,1987-04-14,38,0.08,3624.48
68512981B,Leon,Schneider Schneider,Alemanya,Hamburg,16,10,1977,Home,2984,No,Grup D,Leon Schneider Schneider,False,1977-10-16,48,0.08,3222.7200000000003
70201568H,Joan,Martínez Ferrer,Espanya,València,12,3,1964,Home,2905,No,Grup D,Joan Martínez Ferrer,True,1964-03-12,61,0.08,3137.4
28237150F,Giovanni,Rossi Russo,Itàlia,Torí,10,12,2000,Home,2864,Si,Grup D,Giovanni Rossi Russo,False,2000-12-10,25,0.08,3093.1200000000003
60305889V,Oriol,Ferrer,Espanya,Madrid,12,3,1995,Home,3257,Si,Grup D,Oriol Ferrer,True,1995-03-12,30,0.08,3517.5600000000004
25997800F,Beatriz,Ferreira Pereira,Portugal,Lisboa,25,10,2004,Dona,2376,Si,Grup D,Beatriz Ferreira Pereira,False,2004-10-25,21,0.08,2566.0800000000004
49712589T,Marta,López,Espanya,Madrid,9,7,2004,Dona,2765,No,Grup D,Marta López,True,2004-07-09,21,0.08,2986.2000000000003
68438696L,Clara,López Castells,Espanya,València,9,4,1982,Dona,3002,No,Grup D,Clara López Castells,True,1982-04-09,43,0.08,3242.1600000000003
96650060J,Anna,Sánchez Castells,Espanya,Sevilla,1,2,1960,Dona,2630,No,Grup D,Anna Sánchez Castells,True,1960-02-01,66,0.08,2840.4
